step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
1,TRANSFER,2806.0,C1420196421,2806.0,0.0,C972765878,0.0,0.0,1,0
1,TRANSFER,35063.63,C1364127192,35063.63,0.0,C1136419747,0.0,0.0,1,0
2,TRANSFER,1096187.24,C1093223281,1096187.24,0.0,C2063275841,0.0,0.0,1,0
2,TRANSFER,18627.02,C1375503918,18627.02,0.0,C234430897,0.0,0.0,1,0
3,TRANSFER,22877.0,C1247938090,22877.0,0.0,C1002031672,0.0,0.0,1,0
4,TRANSFER,169941.73,C540962910,169941.73,0.0,C2127862399,0.0,0.0,1,0
4,CASH_OUT,13707.11,C556223230,13707.11,0.0,C2094777811,0.0,13707.11,1,0
6,TRANSFER,25975.86,C864622150,25975.86,0.0,C41792607,0.0,0.0,1,0
6,CASH_OUT,17246.0,C1484518113,17246.0,0.0,C978609035,0.0,17246.0,1,0
6,TRANSFER,10565.0,C777407608,10565.0,0.0,C1790657739,0.0,0.0,1,0
6,TRANSFER,13704.0,C1735554279,13704.0,0.0,C12793273,0.0,1658746.09,1,0
7,TRANSFER,262434.54,C2101686389,262434.54,0.0,C612008977,0.0,0.0,1,0
7,CASH_OUT,21729.0,C693427358,21729.0,0.0,C1101441872,27335.0,0.0,1,0
8,TRANSFER,222.0,C1961506277,222.0,0.0,C378841819,0.0,267095.19,1,0
8,CASH_OUT,222.0,C1737727444,222.0,0.0,C588779235,24708.0,171647.35,1,0
8,TRANSFER,43092.0,C1683174795,43092.0,0.0,C427998326,0.0,0.0,1,0
9,CASH_OUT,556218.01,C589143360,556218.01,0.0,C1992550266,0.0,582265.81,1,0
9,TRANSFER,11308.0,C299933576,11308.0,0.0,C1060999444,0.0,0.0,1,0
9,TRANSFER,1055.0,C666486325,1055.0,0.0,C279565067,0.0,0.0,1,0
10,TRANSFER,59835.0,C1568400442,59835.0,0.0,C1262169546,0.0,0.0,1,0
10,TRANSFER,93810.76,C481501970,93810.76,0.0,C1262577882,0.0,0.0,1,0
10,TRANSFER,503405.88,C1446009472,503405.88,0.0,C2010733400,0.0,0.0,1,0
10,CASH_OUT,503405.88,C140359285,503405.88,0.0,C2020337583,29669.0,533074.88,1,0
11,TRANSFER,1933920.8,C1706582969,0.0,0.0,C461905695,1283762.85,3217683.65,1,0
11,CASH_OUT,12461.0,C938980312,12461.0,0.0,C621014131,27964.11,40425.11,1,0
12,CASH_OUT,222048.71,C265790428,0.0,0.0,C1700442291,2979.0,225027.71,1,0
12,CASH_OUT,8677.0,C343345083,8677.0,0.0,C200064275,225127.62,233804.62,1,0
13,TRANSFER,4022667.54,C735463888,4022667.54,0.0,C1548348754,0.0,0.0,1,0
13,TRANSFER,1161495.82,C1864459372,1161495.82,0.0,C537531657,0.0,0.0,1,0
14,CASH_OUT,2927005.15,C2010427735,2927005.15,0.0,C1887744176,0.0,2994420.07,1,0
15,CASH_OUT,119.0,C1584512618,119.0,0.0,C2102058838,4844060.13,4844179.13,1,0
15,CASH_OUT,248056.41,C1055229266,248056.41,0.0,C1689170857,0.0,201427.47,1,0
15,TRANSFER,212089.74,C378910639,212089.74,0.0,C1881567873,0.0,0.0,1,0
15,TRANSFER,170.0,C553034695,170.0,0.0,C26381896,0.0,0.0,1,0
15,CASH_OUT,747282.4,C842684426,747282.4,0.0,C2025644484,5340917.82,6088200.22,1,0
16,TRANSFER,828720.89,C1422357582,828720.89,0.0,C366986030,0.0,0.0,1,0
17,TRANSFER,1639676.27,C15998296,1639676.27,0.0,C1652158314,0.0,0.0,1,0
17,CASH_OUT,42062.82,C897869440,340830.43,298767.61,C616721459,398931.35,678419.64,1,0
18,TRANSFER,295664.18,C1726326177,295664.18,0.0,C1540448785,0.0,0.0,1,0
18,CASH_OUT,295664.18,C1446413189,295664.18,0.0,C185805228,1.018433654E7,1.048000072E7,1,0
18,TRANSFER,307739.18,C1066119351,307739.18,0.0,C702410034,0.0,0.0,1,0
18,TRANSFER,1102133.9,C590103740,1102133.9,0.0,C1610372134,0.0,746575.95,1,0
18,TRANSFER,1974352.3,C745648946,1974352.3,0.0,C1091334879,0.0,0.0,1,0
18,CASH_OUT,1974352.3,C365968372,1974352.3,0.0,C579837876,15531.71,1989884.01,1,0
19,CASH_OUT,122101.57,C149845822,0.0,0.0,C1200316948,0.0,639940.2,1,0
19,TRANSFER,161939.36,C263177591,161939.36,0.0,C94435408,0.0,0.0,1,0
21,TRANSFER,158299.34,C278180302,158299.34,0.0,C1551346623,0.0,0.0,1,0
21,CASH_OUT,158299.34,C179332971,158299.34,0.0,C631110333,36152.54,271369.74,1,0
22,TRANSFER,461509.86,C1765744035,461509.86,0.0,C788887602,0.0,0.0,1,0
22,CASH_OUT,461509.86,C2141057802,461509.86,0.0,C802885021,302583.81,764093.67,1,0
22,CASH_OUT,235512.2,C1956707614,235512.2,0.0,C1481851679,8490637.21,9272647.09,1,0
22,CASH_OUT,74804.24,C1683055902,74804.24,0.0,C313857348,0.0,74804.24,1,0
22,CASH_OUT,1258956.71,C673988903,1258956.71,0.0,C833477645,4736010.72,5994967.43,1,0
22,CASH_OUT,77773.14,C598573300,77773.14,0.0,C2060664104,1853403.61,1931176.75,1,0
23,CASH_OUT,146127.1,C785373587,146127.1,0.0,C1824914593,177874.39,324001.49,1,0
24,CASH_OUT,986876.27,C1896884992,986876.27,0.0,C309078889,57853.96,1044730.24,1,0
25,TRANSFER,1698263.69,C1865185181,1698263.69,0.0,C388097316,0.0,0.0,1,0
26,CASH_OUT,37065.55,C281192595,37065.55,0.0,C514736179,1396327.66,1433393.21,1,0
26,TRANSFER,1646181.09,C700083141,1646181.09,0.0,C1359428492,0.0,0.0,1,0
26,CASH_OUT,1646181.09,C441238852,1646181.09,0.0,C2059240998,220025.2,1866206.29,1,0
26,CASH_OUT,1027152.36,C1016323653,1027152.36,0.0,C409414944,519428.56,1546580.92,1,0
27,TRANSFER,494244.61,C1529468267,494244.61,0.0,C1924171481,0.0,0.0,1,0
27,CASH_OUT,329937.88,C148278282,329937.88,0.0,C1783581377,349407.23,679345.1,1,0
27,CASH_OUT,496128.26,C705152518,496128.26,0.0,C741210093,465770.07,961898.33,1,0
29,TRANSFER,340198.41,C491994230,340198.41,0.0,C772681684,0.0,0.0,1,0
29,CASH_OUT,268641.82,C2038670336,268641.82,0.0,C1068543577,197163.95,465805.77,1,0
30,TRANSFER,236947.25,C1273047168,236947.25,0.0,C1636242484,0.0,0.0,1,0
31,TRANSFER,335219.49,C1775717184,335219.49,0.0,C1987320319,0.0,0.0,1,0
31,TRANSFER,120406.39,C237098657,120406.39,0.0,C1177827371,0.0,0.0,1,0
31,TRANSFER,378204.02,C620879020,378204.02,0.0,C929929591,0.0,0.0,1,0
31,TRANSFER,5021186.54,C1848562108,5021186.54,0.0,C1803198527,0.0,0.0,1,0
31,CASH_OUT,5021186.54,C1520365660,5021186.54,0.0,C1308026520,880859.14,5902045.68,1,0
32,TRANSFER,2023920.09,C306405849,2023920.09,0.0,C193080093,0.0,0.0,1,0
32,CASH_OUT,2023920.09,C706467919,2023920.09,0.0,C338077337,1530400.88,3554320.97,1,0
32,TRANSFER,604933.67,C1769820937,604933.67,0.0,C1536446312,0.0,0.0,1,0
1,CASH_IN,2643.45,C1574509514,6434890.26,6437533.71,C215145189,49974.0,1891.79,0,0
1,CASH_IN,839300.36,C896134613,4776368.76,5615669.12,C1023714065,2383291.2,1412484.09,0,0
3,PAYMENT,1695.2,C1917071489,227.0,0.0,M872340040,0.0,0.0,0,0
