step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
1,TRANSFER,181.0,C1305486145,181.0,0.0,C553264065,0.0,0.0,1,0
1,CASH_OUT,181.0,C840083671,181.0,0.0,C38997010,21182.0,0.0,1,0
1,CASH_OUT,1277212.77,C467632528,1277212.77,0.0,C716083600,0.0,2444985.19,1,0
1,CASH_OUT,35063.63,C1635772897,35063.63,0.0,C1983025922,31140.0,7550.03,1,0
1,CASH_OUT,235238.66,C1499825229,235238.66,0.0,C2100440237,0.0,235238.66,1,0
2,CASH_OUT,963532.14,C430329518,963532.14,0.0,C991505714,132382.57,1095914.71,1,0
3,TRANSFER,10539.37,C1134864869,10539.37,0.0,C118648358,0.0,0.0,1,0
3,CASH_OUT,10539.37,C1984954272,10539.37,0.0,C124540047,0.0,10539.37,1,0
3,TRANSFER,22877.0,C1247938090,22877.0,0.0,C1002031672,0.0,0.0,1,0
4,TRANSFER,2930418.44,C2047521920,2930418.44,0.0,C449261773,0.0,0.0,1,0
5,CASH_OUT,60726.57,C840095827,60726.57,0.0,C803116137,1.301050278E7,1.307122935E7,1,0
6,TRANSFER,33332.86,C2025652936,33332.86,0.0,C1662235713,0.0,0.0,1,0
6,CASH_OUT,33332.86,C685428529,33332.86,0.0,C1626759869,31002.0,0.0,1,0
6,CASH_OUT,13704.0,C1421965867,13704.0,0.0,C1438594533,3382.84,143675.35,1,0
7,TRANSFER,262434.54,C2101686389,262434.54,0.0,C612008977,0.0,0.0,1,0
7,TRANSFER,164.0,C1455969984,164.0,0.0,C2119910556,0.0,0.0,1,0
8,CASH_OUT,222.0,C1737727444,222.0,0.0,C588779235,24708.0,171647.35,1,0
8,CASH_OUT,89631.24,C1938531779,89631.24,0.0,C2048578791,21175.0,0.0,1,0
9,CASH_OUT,556218.01,C589143360,556218.01,0.0,C1992550266,0.0,582265.81,1,0
9,TRANSFER,350705.74,C1452168793,350705.74,0.0,C399194578,0.0,1184633.07,1,0
9,TRANSFER,361559.69,C1287719145,361559.69,0.0,C352239275,0.0,141302.12,1,0
9,TRANSFER,1055.0,C666486325,1055.0,0.0,C279565067,0.0,0.0,1,0
10,TRANSFER,59835.0,C1568400442,59835.0,0.0,C1262169546,0.0,0.0,1,0
11,TRANSFER,2100.0,C785601242,2100.0,0.0,C1576053316,0.0,0.0,1,0
11,TRANSFER,313418.28,C711446907,313418.28,0.0,C888769567,0.0,97980.88,1,0
11,CASH_OUT,313418.28,C2021456831,313418.28,0.0,C157591472,688164.64,1029922.17,1,0
11,TRANSFER,12461.0,C2079232448,12461.0,0.0,C585834595,0.0,0.0,1,0
12,CASH_OUT,19472.0,C1205151454,19472.0,0.0,C664770316,0.0,19472.0,1,0
12,CASH_OUT,1041647.06,C169939918,1041647.06,0.0,C1673501963,52730.33,1094377.39,1,0
12,TRANSFER,2066467.64,C1223631235,2066467.64,0.0,C1281019843,0.0,81209.81,1,0
13,TRANSFER,4022667.54,C735463888,4022667.54,0.0,C1548348754,0.0,0.0,1,0
14,TRANSFER,1832319.42,C439830884,1832319.42,0.0,C1133002328,0.0,0.0,1,0
15,CASH_OUT,747282.4,C842684426,747282.4,0.0,C2025644484,5340917.82,6088200.22,1,0
16,CASH_OUT,2198224.71,C705981026,2198224.71,0.0,C697783649,0.0,2198224.71,1,0
16,TRANSFER,31074.0,C457962127,31074.0,0.0,C614104997,0.0,0.0,1,0
16,CASH_OUT,31074.0,C2073757635,31074.0,0.0,C1899325653,0.0,31074.0,1,0
16,CASH_OUT,121626.82,C828364266,121626.82,0.0,C101179743,653744.34,775371.16,1,0
17,CASH_OUT,195351.76,C268542581,195351.76,0.0,C504693752,156408.25,265841.0,1,0
17,CASH_OUT,42062.82,C897869440,340830.43,298767.61,C616721459,398931.35,678419.64,1,0
18,TRANSFER,307739.18,C1066119351,307739.18,0.0,C702410034,0.0,0.0,1,0
18,TRANSFER,1102133.9,C590103740,1102133.9,0.0,C1610372134,0.0,746575.95,1,0
18,CASH_OUT,1102133.9,C1213142549,1102133.9,0.0,C1880832297,306228.56,1408362.45,1,0
18,CASH_OUT,1144089.37,C1542410200,1144089.37,0.0,C183389809,2502877.26,3879210.29,1,0
18,TRANSFER,11481.0,C370107492,11481.0,0.0,C1680789799,0.0,263492.28,1,0
18,CASH_OUT,11481.0,C779194867,11481.0,0.0,C1475456951,761417.61,1765080.5,1,0
19,CASH_OUT,3477438.49,C841995363,3477438.49,0.0,C1314676285,0.0,3477438.49,1,0
21,TRANSFER,785323.0,C1204079316,785323.0,0.0,C637091706,0.0,0.0,1,0
22,CASH_OUT,461509.86,C2141057802,461509.86,0.0,C802885021,302583.81,764093.67,1,0
22,TRANSFER,37100.29,C362085592,37100.29,0.0,C1652057111,0.0,0.0,1,0
22,CASH_OUT,489767.32,C480109552,489767.32,0.0,C720599914,0.0,489767.32,1,0
22,CASH_OUT,89571.46,C1022920965,4505.6,0.0,C1460548505,1929428.01,2018999.47,1,0
22,CASH_OUT,239646.72,C663158205,239646.72,0.0,C1104558647,2208970.26,2448616.98,1,0
24,CASH_OUT,986876.27,C1896884992,986876.27,0.0,C309078889,57853.96,1044730.24,1,0
24,TRANSFER,6844.73,C997222163,6844.73,0.0,C761549792,0.0,0.0,1,0
25,CASH_OUT,8383.17,C644686763,8383.17,0.0,C980380973,6577262.64,6585645.81,1,0
25,CASH_OUT,781953.11,C1665079678,781953.11,0.0,C1566512642,0.0,781953.11,1,0
25,TRANSFER,217231.0,C1527375688,217231.0,0.0,C658289217,0.0,0.0,1,0
25,TRANSFER,1698263.69,C1865185181,1698263.69,0.0,C388097316,0.0,0.0,1,0
25,CASH_OUT,802382.45,C1343455954,802382.45,0.0,C1045004287,0.0,802382.45,1,0
26,CASH_OUT,37065.55,C281192595,37065.55,0.0,C514736179,1396327.66,1433393.21,1,0
26,CASH_OUT,369186.87,C1121219802,369186.87,0.0,C418751321,36224.11,405410.97,1,0
26,TRANSFER,78741.64,C1482114822,78741.64,0.0,C2123466960,0.0,0.0,1,0
26,CASH_OUT,78741.64,C1993214834,78741.64,0.0,C1402138462,48628.52,127370.16,1,0
26,TRANSFER,331829.94,C1549516546,331829.94,0.0,C1908627867,0.0,0.0,1,0
26,TRANSFER,1027152.36,C414159853,1027152.36,0.0,C1087566727,0.0,0.0,1,0
26,CASH_OUT,1027152.36,C1016323653,1027152.36,0.0,C409414944,519428.56,1546580.92,1,0
27,CASH_OUT,1218165.88,C807604201,1218165.88,0.0,C849028719,742564.27,1960730.15,1,0
28,CASH_OUT,3832058.34,C426880249,3832058.34,0.0,C1566081912,531662.14,4363720.48,1,0
29,CASH_OUT,340198.41,C1369188336,340198.41,0.0,C1627551181,1614043.79,1954242.21,1,0
30,TRANSFER,236947.25,C1273047168,236947.25,0.0,C1636242484,0.0,0.0,1,0
31,CASH_OUT,335219.49,C89283631,335219.49,0.0,C1228650470,111675.56,446895.05,1,0
31,TRANSFER,378204.02,C620879020,378204.02,0.0,C929929591,0.0,0.0,1,0
31,CASH_OUT,378204.02,C1309442409,378204.02,0.0,C1009459055,0.0,378204.02,1,0
31,TRANSFER,587031.2,C1909564191,587031.2,0.0,C2047987632,0.0,0.0,1,0
32,TRANSFER,81867.07,C1128786535,81867.07,0.0,C9901046,0.0,0.0,1,0
