step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
1,CASH_OUT,1277212.77,C467632528,1277212.77,0.0,C716083600,0.0,2444985.19,1,0
4,CASH_OUT,2930418.44,C2044690596,2930418.44,0.0,C932583850,3616012.1,6963508.84,1,0
6,CASH_OUT,33332.86,C685428529,33332.86,0.0,C1626759869,31002.0,0.0,1,0
6,TRANSFER,216422.0,C666642000,216422.0,0.0,C1315078366,0.0,0.0,1,0
6,CASH_OUT,17320.91,C436661284,17320.91,0.0,C522173599,6244.44,0.0,1,0
6,TRANSFER,10224.0,C365589282,10224.0,0.0,C908043384,0.0,0.0,1,0
6,TRANSFER,13704.0,C1735554279,13704.0,0.0,C12793273,0.0,1658746.09,1,0
7,TRANSFER,5460002.91,C666654362,5460002.91,0.0,C1726301214,0.0,0.0,1,0
7,CASH_OUT,164.0,C1173659886,164.0,0.0,C1769947269,4068.0,0.0,1,0
7,TRANSFER,441445.58,C1023505879,441445.58,0.0,C847761155,0.0,0.0,1,0
8,TRANSFER,1078013.76,C1026280121,0.0,0.0,C277510102,0.0,970749.68,1,0
8,CASH_OUT,29707.86,C515973302,29707.86,0.0,C170071280,10935.0,0.0,1,0
8,CASH_OUT,43092.0,C1395071924,43092.0,0.0,C79685693,660641.74,1158662.9,1,0
9,TRANSFER,556218.01,C1769581889,556218.01,0.0,C217441120,0.0,0.0,1,0
9,CASH_OUT,244068.01,C507466068,244068.01,0.0,C706331499,0.0,338538.16,1,0
10,CASH_OUT,277970.88,C489647033,0.0,0.0,C571514738,0.0,277970.88,1,0
10,CASH_OUT,93810.76,C1190429229,93810.76,0.0,C2104652067,4096048.05,4189858.81,1,0
11,TRANSFER,2100.0,C785601242,2100.0,0.0,C1576053316,0.0,0.0,1,0
12,CASH_OUT,3964129.99,C1098250442,3964129.99,0.0,C1140712423,1912955.54,5811064.07,1,0
