step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
1,TRANSFER,2806.0,C1420196421,2806.0,0.0,C972765878,0.0,0.0,1,0
1,CASH_OUT,35063.63,C1635772897,35063.63,0.0,C1983025922,31140.0,7550.03,1,0
1,TRANSFER,25071.46,C669700766,25071.46,0.0,C1384210339,0.0,0.0,1,0
1,CASH_OUT,25071.46,C1275464847,25071.46,0.0,C1364913072,9083.76,34155.22,1,0
2,TRANSFER,963532.14,C1440057381,963532.14,0.0,C268086000,0.0,0.0,1,0
2,CASH_OUT,963532.14,C430329518,963532.14,0.0,C991505714,132382.57,1095914.71,1,0
3,TRANSFER,22877.0,C1247938090,22877.0,0.0,C1002031672,0.0,0.0,1,0
4,CASH_OUT,2930418.44,C2044690596,2930418.44,0.0,C932583850,3616012.1,6963508.84,1,0
4,CASH_OUT,86070.17,C1699873763,86070.17,0.0,C560041895,0.0,86070.17,1,0
5,CASH_OUT,60726.57,C840095827,60726.57,0.0,C803116137,1.301050278E7,1.307122935E7,1,0
5,TRANSFER,10119.47,C1775746074,10119.47,0.0,C746009679,0.0,0.0,1,0
6,TRANSFER,216422.0,C666642000,216422.0,0.0,C1315078366,0.0,0.0,1,0
6,TRANSFER,17320.91,C788790720,17320.91,0.0,C1589547066,0.0,0.0,1,0
6,CASH_OUT,17320.91,C436661284,17320.91,0.0,C522173599,6244.44,0.0,1,0
6,CASH_OUT,17246.0,C1484518113,17246.0,0.0,C978609035,0.0,17246.0,1,0
7,CASH_OUT,164.0,C1173659886,164.0,0.0,C1769947269,4068.0,0.0,1,0
7,CASH_OUT,21571.0,C452475723,21571.0,0.0,C2089016471,30797.41,71140.3,1,0
7,TRANSFER,441445.58,C1023505879,441445.58,0.0,C847761155,0.0,0.0,1,0
8,CASH_OUT,181728.11,C2102265902,0.0,0.0,C789014007,11397.0,184477.77,1,0
8,CASH_OUT,43092.0,C1395071924,43092.0,0.0,C79685693,660641.74,1158662.9,1,0
9,CASH_OUT,556218.01,C589143360,556218.01,0.0,C1992550266,0.0,582265.81,1,0
9,CASH_OUT,350705.74,C58527359,350705.74,0.0,C582901057,894760.68,1794033.65,1,0
9,TRANSFER,21922.0,C102617052,21922.0,0.0,C760675871,0.0,0.0,1,0
11,CASH_OUT,313418.28,C2021456831,313418.28,0.0,C157591472,688164.64,1029922.17,1,0
12,TRANSFER,1041647.06,C345293642,1041647.06,0.0,C937194908,0.0,0.0,1,0
12,CASH_OUT,1041647.06,C169939918,1041647.06,0.0,C1673501963,52730.33,1094377.39,1,0
13,CASH_OUT,408.0,C1894004688,408.0,0.0,C1293978242,898297.85,1075854.14,1,0
13,CASH_OUT,48375.02,C1894578299,48375.02,0.0,C590035788,374803.26,658520.33,1,0
13,TRANSFER,2686564.04,C364029634,2686564.04,0.0,C2041291172,0.0,0.0,1,0
13,CASH_OUT,2686564.04,C901331326,2686564.04,0.0,C1662761228,438199.37,3124763.41,1,0
13,TRANSFER,123194.95,C2143112877,79466.45,0.0,C1755380031,535933.16,263908.84,1,0
14,CASH_OUT,143032.0,C465166521,143032.0,0.0,C487776685,814654.61,1020323.73,1,0
14,TRANSFER,2927005.15,C2081788795,2927005.15,0.0,C2138456206,0.0,0.0,1,0
15,TRANSFER,696763.08,C968403759,696763.08,0.0,C1524019269,0.0,69861.26,1,0
15,CASH_OUT,164500.81,C1689700172,164500.81,0.0,C149696600,685636.21,850137.02,1,0
15,CASH_OUT,59385.67,C1765315298,59385.67,0.0,C721356209,74371.0,133756.67,1,0
16,TRANSFER,2198224.71,C752563135,2198224.71,0.0,C247007952,0.0,0.0,1,0
